n,stopping_time,max_excursion_log,odd_even_ratio,entropy,compression_ratio,excursion_normalized,up_down_ratio,variance_log,peak_late,omega,steps
8214,39.0,4.266819454909125,0.3333333333333333,0.8485481782946158,2.9991073659900684,2.2503043584124667,0.3333333333333333,1.4796872856981311,0.1,STABLE,39
24599,113.0,5.2202362644824944,0.5,0.9268190639645772,7.746989069603946,6.750193097280377,0.5,0.9717562810958755,0.043859649122807015,STABLE,113
16409,97.0,4.743392160047862,0.48484848484848486,0.9216597034450194,6.927482972491251,3.3752209153513317,0.48484848484848486,1.3788679389031544,0.061224489795918366,STABLE,97
16410,40.0,4.39123512565331,0.3225806451612903,0.8390040613676977,2.8566760725179,1.5000609384521633,0.3225806451612903,1.3439956857254491,0.04878048780487805,STABLE,40
27,111.0,3.965342835560622,0.5774647887323944,0.954434002924965,23.344400882143926,341.9259259259259,0.5774647887323944,0.6184088526952737,0.6875,STABLE,111
40987,88.0,6.703126314851531,0.45901639344262296,0.9106223680988619,5.743046152197919,123.16295410739991,0.45901639344262296,4.059599720558873,0.4157303370786517,STABLE,88
24604,113.0,4.618309641123432,0.5,0.9268190639645772,7.746833343409742,1.6876930580393432,0.5,0.8704149023276088,0.06140350877192982,STABLE,113
32799,98.0,5.850823224649963,0.47761194029850745,0.9182958340544896,6.532739198508256,21.62529345406872,0.47761194029850745,2.612586618596465,0.24242424242424243,STABLE,98
49184,158.0,4.691832675725046,0.5288461538461539,0.9360186160699067,10.137366806148691,1.0,0.5288461538461539,0.6105039755260913,0.0,STABLE,158
24607,219.0,5.73194395175178,0.5602836879432624,0.9456603046006401,15.013593307692968,21.92221725525257,0.5602836879432624,1.537001170075816,0.25,STABLE,219
40994,150.0,4.788825681069757,0.5252525252525253,0.9349520981652116,9.789125818257249,1.5000243938137288,0.5252525252525253,0.7335071057329946,0.013245033112582781,STABLE,150
38,21.0,1.9493900066449128,0.375,0.9023932827949788,4.001579660962241,2.3157894736842106,0.375,0.2749277342977496,0.18181818181818182,STABLE,21
32807,235.0,5.398816398669286,0.5629139072847682,0.9462804541128473,15.664874548857128,7.635687505715244,0.5629139072847682,1.3075514386147973,0.6228813559322034,STABLE,235
16424,40.0,4.215505378231819,0.3225806451612903,0.8390040613676977,2.856425096254755,1.0,0.3225806451612903,1.0602744868604381,0.0,STABLE,40
41000,57.0,4.6127944491388995,0.38095238095238093,0.8726965039103789,3.719816554562977,1.0,0.38095238095238093,1.1686514220284554,0.0,STABLE,57
16426,40.0,4.391658328722475,0.3225806451612903,0.8390040613676977,2.8563892635659656,1.500060879094119,0.3225806451612903,1.1831963732955497,0.04878048780487805,STABLE,40
16427,159.0,4.868791333198155,0.5384615384615384,0.9395263129669762,11.354076113049016,4.500152188470201,0.5384615384615384,0.8285115882277321,0.01875,STABLE,159
24619,95.0,5.044496642373874,0.47692307692307695,0.9182958340544896,6.512431922621263,4.500101547585198,0.47692307692307695,1.513917981116912,0.03125,STABLE,95
45,16.0,2.1367205671564067,0.3076923076923077,0.873981048127358,2.913406407519012,3.022222222222222,0.3076923076923077,0.35563351057530634,0.058823529411764705,STABLE,16
8242,65.0,4.143420785129937,0.43478260869565216,0.9023932827949788,4.996625836886626,1.687939820431934,0.43478260869565216,1.2798253908356136,0.10606060606060606,STABLE,65
32820,41.0,4.51615180913224,0.3125,0.8296071030882031,2.7329165419886627,1.0,0.3125,1.4257333441394855,0.0,STABLE,41
49210,114.0,4.868156391036818,0.4935064935064935,0.9239841591414172,7.313944841598064,1.5000203210729526,0.4935064935064935,0.9349748741199888,0.017391304347826087,STABLE,114
8253,39.0,4.393768180158745,0.3333333333333333,0.8485481782946158,2.997532126027541,3.000121168060099,0.3333333333333333,1.6082023540464132,0.025,STABLE,39
49216,39.0,4.692115137949611,0.2903225806451613,0.8112781244591328,2.5021107890080994,1.0,0.2903225806451613,1.2715898444903433,0.0,STABLE,39
41026,181.0,4.789164548963006,0.5423728813559322,0.9402859586706311,11.811344086440528,1.5000243747867206,0.5423728813559322,0.8977049019430763,0.01098901098901099,STABLE,181
32837,41.0,4.993493544768984,0.3125,0.8296071030882031,2.732780454034257,3.000030453451899,0.3125,1.6963548711625251,0.023809523809523808,STABLE,41
24646,38.0,4.7439563722976406,0.3,0.8212809417449863,2.604690407498716,2.250101436338554,0.3,1.7350347668911177,0.10256410256410256,STABLE,38
72,22.0,1.863322860120456,0.35294117647058826,0.8865408928220899,3.5656835366486903,1.0,0.35294117647058826,0.23223016113046033,0.0,STABLE,22
16458,115.0,4.392503499681746,0.5064935064935064,0.9293636260137187,8.210472883531883,1.5000607607242677,0.5064935064935064,0.7364996144614371,0.017241379310344827,STABLE,115
49227,158.0,5.345422745228956,0.5288461538461539,0.9360186160699067,10.136546855942678,4.500050785138237,0.5288461538461539,0.8405002303049531,0.018867924528301886,STABLE,158
76,22.0,1.9493900066449128,0.35294117647058826,0.8865408928220899,3.52116761160607,1.1578947368421053,0.35294117647058826,0.2842309305559569,0.21739130434782608,STABLE,22
41038,62.0,5.192637135564036,0.4,0.8832225588099292,4.045763377857359,3.7970661338271845,0.4,2.080065177422358,0.1746031746031746,STABLE,62
8271,96.0,4.923000372247522,0.49230769230769234,0.925015873745592,7.3767585394059205,10.125982347962761,0.49230769230769234,1.2616222984584071,0.07216494845360824,STABLE,96
