r,v
5406,1
5408,3
5410,1
5412,2
5414,1
5416,3
5418,1
5420,2
5422,1
5424,3
5426,1
5428,2
5430,1
5432,3
5434,1
5436,2
5438,1
5440,3
5442,1
5444,2
5446,1
5448,3
5450,1
5452,2
5454,1
5456,3
5458,1
5460,2
5462,1
5464,3
5466,1
5468,2
5470,1
5472,3
5474,1
5476,2
5478,1
5480,3
5482,1
5484,2
5486,1
5488,3
5490,1
5492,2
5494,1
5496,3
5498,1
5500,2
5502,1
5504,3
5506,1
5508,2
5510,1
5512,3
5514,1
5516,2
5518,1
5520,3
5522,1
5524,2
5526,1
5528,3
5530,1
5532,2
5534,1
5536,3
5538,1
5540,2
5542,1
5544,3
5546,1
5548,2
5550,1
5552,3
5554,1
5556,2
5558,1
5560,3
5562,1
5564,2
5566,1
5568,3
5570,1
5572,2
5574,1
5576,3
5578,1
5580,2
5582,1
5584,3
5586,1
5588,2
5590,1
5592,3
5594,1
5596,2
5598,1
5600,3
5602,1
5604,2
5606,1
5608,3
5610,1
5612,2
5614,1
5616,3
5618,1
5620,2
5622,1
5624,3
5626,1
5628,2
5630,1
5632,3
5634,1
5636,2
5638,1
5640,3
5642,1
5644,2
5646,1
5648,3
5650,1
5652,2
5654,1
5656,3
5658,1
5660,2
5662,1
5664,3
5666,1
5668,2
5670,1
5672,3
5674,1
5676,2
5678,1
5680,3
5682,1
5684,2
5686,1
5688,3
5690,1
5692,2
5694,1
5696,3
5698,1
5700,2
5702,1
5704,3
5706,1
5708,2
5710,1
5712,3
5714,1
5716,2
5718,1
5720,3
5722,1
5724,2
5726,1
5728,3
5730,1
5732,2
5734,1
5736,3
5738,1
5740,2
5742,1
5744,3
5746,1
5748,2
5750,1
5752,3
5754,1
5756,2
5758,1
5760,3
5762,1
5764,2
5766,1
5768,3
5770,1
5772,2
5774,1
5776,3
5778,1
5780,2
5782,1
5784,3
